Name,Year,Rating,Review Length,Rating Count
Monty Python and the Holy Grail,1975,8.1,849,551129
No Country for Old Men,2007,8.1,2103,999591
Kill Bill: Vol. 1,2003,8.1,2440,1138998
The Great Escape,1963,8.1,433,249193
Rashomon,1950,8.1,404,172475
The Thing,1982,8.1,1333,437719
Finding Nemo,2003,8.1,1070,1064734
Spider-Man: No Way Home,2021,8.1,6141,793328
The Elephant Man,1980,8.1,477,247450
Chinatown,1974,8.1,617,334202
V for Vendetta,2005,8.1,2433,1139478
Raging Bull,1980,8.1,659,362539
Gone with the Wind,1939,8.1,988,322042
Dial M for Murder,1954,8.1,421,180303
"Lock, Stock and Two Smoking Barrels",1998,8.1,641,594356
Inside Out,2015,8.1,1184,734627
Howl's Moving Castle,2004,8.1,576,410668
The Secret in Their Eyes,2009,8.1,347,213842
"Three Billboards Outside Ebbing, Missouri",2017,8.1,1372,524995
Trainspotting,1996,8.1,703,700238
The Bridge on the River Kwai,1957,8.1,384,225382
Prisoners,2013,8.1,1235,743646
Fargo,1996,8.1,1090,691751
Warrior,2011,8.1,825,481281
Gran Torino,2008,8.1,1112,788615
Catch Me If You Can,2002,8.1,1002,1018523
My Neighbor Totoro,1988,8.1,573,351739
Million Dollar Baby,2004,8.1,1350,699201
Children of Heaven,1997,8.1,205,76588
Blade Runner,1982,8.1,1772,786666
The Gold Rush,1925,8.1,227,113733
Klaus,2019,8.1,833,165674
Harry Potter and the Deathly Hallows: Part 2,2011,8.1,1103,898804
Before Sunrise,1995,8.1,608,319680
12 Years a Slave,2013,8.1,982,714831
Ben-Hur,1959,8.1,500,244872
The Grand Budapest Hotel,2014,8.1,1075,836604
On the Waterfront,1954,8.1,391,158327
Gone Girl,2014,8.1,1759,1006871
The General,1926,8.1,344,93726
Wild Strawberries,1957,8.1,222,109863
Barry Lyndon,1975,8.1,537,173431
In the Name of the Father,1993,8.1,225,179616
The Deer Hunter,1978,8.1,1216,346267
Hacksaw Ridge,2016,8.1,1157,548066
The Third Man,1949,8.1,535,175174
The Wages of Fear,1953,8.1,196,63072
Memories of Murder,2003,8.1,400,195119
Sherlock Jr.,1924,8.1,356,52282
Wild Tales,2014,8.1,282,204812
Mr. Smith Goes to Washington,1939,8.1,336,117475
Mad Max: Fury Road,2015,8.1,2298,1028102
John Wick: Chapter 4,2023,8.1,939,148203
Mary and Max,2009,8.1,260,180594
