0,1,2,3,4,5
0.0009,0.0015,0.0117,0.2343,0.7516,10.0
0.0275,0.2591,0.5161,0.1792,0.0183,10.0
0.0517,0.1857,0.2947,0.3804,0.0875,10.0
0.0424,0.0794,0.1284,0.3551,0.3946,10.0
0.0064,0.0342,0.1067,0.5688,0.2839,10.0
0.0018,0.0033,0.0237,0.3038,0.6675,10.0
0.0032,0.0083,0.0403,0.3634,0.5847,10.0
0.0596,0.1147,0.2475,0.338,0.2402,10.0
0.1507,0.4771,0.2816,0.067,0.0236,7.0
0.039,0.1039,0.2967,0.4554,0.105,10.0
0.0037,0.0028,0.0031,0.0433,0.9471,10.0
0.0186,0.1526,0.5272,0.2755,0.0262,9.0
0.0058,0.0449,0.2527,0.5922,0.1044,10.0
0.0018,0.0019,0.0026,0.0343,0.9594,10.0
0.0603,0.3487,0.4463,0.1324,0.0123,4.0
0.8841,0.1089,0.0053,0.0008,0.0009,1.0
0.0148,0.0268,0.0727,0.3501,0.5356,9.0
0.1514,0.5282,0.2625,0.0516,0.0062,6.0
0.2353,0.168,0.1436,0.1896,0.2634,10.0
0.0009,0.0011,0.0023,0.0417,0.954,10.0
0.0009,0.0015,0.0052,0.1351,0.8573,9.0
0.0162,0.0904,0.2207,0.5055,0.1672,10.0
0.0144,0.0691,0.1923,0.5415,0.1827,6.0
0.0767,0.3537,0.3632,0.1673,0.0392,0.0
0.0212,0.076,0.1896,0.4595,0.2538,10.0
0.0033,0.0145,0.1606,0.5697,0.2518,8.0
0.0051,0.0295,0.1477,0.5963,0.2214,10.0
0.0037,0.008,0.0174,0.1538,0.8172,10.0
0.0011,0.0011,0.0027,0.0564,0.9387,10.0
0.0011,0.0009,0.0028,0.0444,0.9509,9.0
0.0122,0.0217,0.0537,0.2876,0.6249,8.0
0.0895,0.5672,0.2623,0.0719,0.0091,7.0
0.037,0.2448,0.6396,0.0758,0.0028,4.0
0.0007,0.0009,0.0068,0.2092,0.7823,8.0
0.0101,0.0577,0.2062,0.5293,0.1967,8.0
0.0013,0.004,0.0449,0.4992,0.4505,9.0
0.0198,0.0416,0.0888,0.3628,0.487,10.0
0.0007,0.0046,0.1124,0.8226,0.0597,7.0
0.1526,0.3939,0.192,0.1664,0.0952,3.0
0.0141,0.0485,0.113,0.4813,0.3432,10.0
0.0609,0.6332,0.2945,0.0108,0.0006,7.0
0.0061,0.0248,0.1726,0.4792,0.3174,10.0
0.0023,0.0037,0.0418,0.3638,0.5883,10.0
0.0013,0.0011,0.0041,0.0432,0.9503,10.0
0.0026,0.0074,0.0299,0.4507,0.5095,8.0
0.0026,0.008,0.0447,0.4371,0.5076,5.0
0.0115,0.0483,0.1902,0.5767,0.1733,10.0
0.0175,0.0522,0.2463,0.4495,0.2344,8.0
0.232,0.342,0.1558,0.1472,0.1231,8.0
0.1677,0.1765,0.0837,0.2213,0.3507,10.0
0.0145,0.1206,0.43,0.3744,0.0606,9.0
0.1938,0.1315,0.072,0.1545,0.4482,8.0
0.0832,0.2731,0.2913,0.2656,0.0868,9.0
0.0449,0.0313,0.0419,0.1084,0.7735,10.0
0.1177,0.1565,0.1443,0.2683,0.3132,9.0
0.0995,0.5369,0.275,0.0688,0.0196,5.0
0.0015,0.0034,0.0397,0.4155,0.5399,10.0
0.0013,0.0012,0.0032,0.0348,0.9596,10.0
0.0261,0.0215,0.0351,0.2106,0.7067,9.0
0.0114,0.0466,0.1189,0.5009,0.3222,9.0
0.0133,0.1032,0.3306,0.4891,0.0638,10.0
0.0009,0.0017,0.0218,0.3932,0.5824,9.0
0.8794,0.1117,0.0072,0.0009,0.0008,1.0
0.6409,0.3198,0.0311,0.0046,0.0036,10.0
0.0676,0.1608,0.2608,0.361,0.1499,3.0
0.0605,0.0448,0.0311,0.1424,0.7211,9.0
0.0038,0.0268,0.1669,0.6349,0.1677,9.0
0.0058,0.0099,0.1062,0.5453,0.3328,10.0
0.0056,0.0077,0.0142,0.1318,0.8407,9.0
0.0368,0.0601,0.1751,0.4229,0.3051,8.0
0.0008,0.0016,0.0099,0.3087,0.6791,9.0
0.0035,0.0049,0.0166,0.1509,0.824,10.0
0.0089,0.0458,0.4141,0.4667,0.0645,10.0
0.5802,0.3843,0.0288,0.0036,0.0032,9.0
0.0036,0.0109,0.0381,0.3023,0.645,9.0
0.0024,0.0072,0.0509,0.4368,0.5028,9.0
0.0053,0.0097,0.0439,0.3204,0.6207,0.0
0.0012,0.0011,0.003,0.0662,0.9285,10.0
0.0009,0.0014,0.0123,0.2879,0.6976,8.0
0.0015,0.0019,0.0098,0.1742,0.8126,0.0
0.0006,0.0008,0.0056,0.1307,0.8623,10.0
0.0011,0.0026,0.013,0.2294,0.7539,10.0
0.0581,0.2705,0.3648,0.2667,0.0398,7.0
0.1038,0.5227,0.314,0.0524,0.0071,7.0
0.0118,0.018,0.0531,0.297,0.6201,10.0
0.1071,0.125,0.1346,0.224,0.4092,10.0
0.0148,0.0155,0.027,0.0911,0.8517,10.0
0.0014,0.0032,0.03,0.4951,0.4703,9.0
0.0512,0.0957,0.1357,0.3278,0.3896,10.0
0.0178,0.0174,0.0272,0.1463,0.7914,10.0
0.0013,0.0073,0.1471,0.751,0.0933,8.0
0.0176,0.0334,0.1474,0.4488,0.3528,9.0
0.4046,0.3021,0.1678,0.0822,0.0433,10.0
0.001,0.002,0.0087,0.116,0.8723,10.0
0.0007,0.0012,0.0083,0.1832,0.8066,10.0
0.0008,0.0005,0.0012,0.0146,0.9829,10.0
0.5226,0.2999,0.1203,0.0373,0.0198,1.0
0.0116,0.0412,0.4137,0.4401,0.0934,7.0
0.0054,0.0133,0.1854,0.6415,0.1544,8.0
0.0132,0.0314,0.111,0.458,0.3865,10.0
0.0929,0.0612,0.0392,0.1096,0.6971,9.0
0.0006,0.0033,0.0742,0.8711,0.0507,10.0
0.0017,0.003,0.0183,0.3023,0.6746,8.0
0.0013,0.0011,0.0077,0.1272,0.8627,9.0
0.0027,0.0037,0.0243,0.2251,0.7441,9.0
0.0026,0.0041,0.017,0.1871,0.7891,10.0
0.0033,0.0417,0.6001,0.3441,0.0108,9.0
0.0022,0.0022,0.0044,0.0407,0.9505,10.0
0.0007,0.0008,0.0024,0.0781,0.9181,10.0
0.0487,0.1026,0.0963,0.3478,0.4046,10.0
0.9142,0.0809,0.0037,0.0004,0.0007,1.0
0.0018,0.0017,0.0056,0.0796,0.9112,10.0
0.1615,0.5286,0.2581,0.0457,0.0061,7.0
0.0024,0.023,0.3729,0.5576,0.0442,7.0
0.0331,0.0385,0.0422,0.2138,0.6725,10.0
0.0069,0.0068,0.0096,0.0789,0.8978,10.0
0.0088,0.0116,0.0445,0.3451,0.5901,9.0
0.0148,0.0635,0.3143,0.5215,0.0858,10.0
0.0019,0.0103,0.1181,0.6374,0.2324,9.0
0.0217,0.0331,0.0386,0.1942,0.7125,10.0
0.0082,0.0071,0.0231,0.1406,0.8211,10.0
0.0558,0.0855,0.1595,0.3759,0.3233,9.0
0.0381,0.1764,0.6684,0.1101,0.007,7.0
0.0049,0.0106,0.02,0.1886,0.776,10.0
0.0035,0.0151,0.0587,0.4913,0.4315,10.0
0.0019,0.0014,0.0034,0.0303,0.963,10.0
0.0157,0.1144,0.3882,0.4314,0.0503,7.0
0.005,0.0105,0.0339,0.2981,0.6524,10.0
0.0094,0.0151,0.0498,0.2463,0.6794,9.0
0.0005,0.0006,0.0045,0.1334,0.861,10.0
0.0093,0.0138,0.0614,0.3579,0.5577,9.0
0.1106,0.5719,0.2947,0.0211,0.0016,4.0
0.0126,0.1172,0.5072,0.3438,0.0191,6.0
0.0199,0.0247,0.039,0.2363,0.6801,9.0
0.2216,0.1038,0.1069,0.1519,0.4158,9.0
0.0795,0.5425,0.3404,0.0354,0.0022,6.0
0.0872,0.4113,0.3428,0.1426,0.0162,10.0
0.0017,0.0019,0.0063,0.1098,0.8802,10.0
0.0007,0.0009,0.0039,0.1199,0.8745,8.0
0.0047,0.0282,0.1371,0.6625,0.1674,9.0
0.0007,0.0018,0.0262,0.4779,0.4933,0.0
0.0007,0.0007,0.0045,0.1286,0.8654,10.0
0.003,0.019,0.2481,0.6951,0.0348,7.0
0.0187,0.2197,0.6122,0.1417,0.0077,6.0
0.0014,0.001,0.007,0.1002,0.8904,9.0
0.0179,0.0155,0.058,0.2494,0.6593,10.0
0.0091,0.0105,0.0176,0.1559,0.8069,10.0
0.1012,0.4627,0.2422,0.1858,0.0081,8.0
0.051,0.0689,0.1404,0.3765,0.3633,10.0
0.1719,0.2357,0.1549,0.2567,0.1808,1.0
0.0109,0.2074,0.6885,0.0898,0.0034,7.0
0.3809,0.2291,0.1097,0.1261,0.1541,3.0
0.002,0.0018,0.0074,0.0792,0.9096,10.0
0.0082,0.0136,0.0908,0.3996,0.4878,10.0
0.0013,0.0026,0.0281,0.4079,0.5601,9.0
0.0009,0.0008,0.0041,0.0998,0.8944,10.0
0.5684,0.2426,0.1029,0.036,0.0502,9.0
0.0179,0.068,0.1809,0.4421,0.2911,10.0
0.0043,0.0158,0.0674,0.4293,0.4832,9.0
0.0036,0.0071,0.039,0.4249,0.5254,9.0
0.0406,0.2029,0.2379,0.3872,0.1314,9.0
0.0031,0.0143,0.1946,0.6463,0.1416,10.0
0.0166,0.0967,0.4355,0.3913,0.06,9.0
0.0006,0.0019,0.0609,0.8016,0.1349,10.0
0.0162,0.0698,0.3181,0.5118,0.0842,10.0
0.0071,0.0072,0.0094,0.0883,0.888,10.0
0.0009,0.0008,0.0055,0.0933,0.8995,8.0
0.0146,0.0103,0.0408,0.1773,0.7571,9.0
0.0124,0.014,0.0181,0.1146,0.8409,9.0
0.0094,0.1079,0.509,0.3541,0.0196,8.0
0.001,0.001,0.0062,0.1128,0.879,10.0
0.0339,0.2276,0.6067,0.1257,0.0061,8.0
0.0127,0.0421,0.1359,0.6618,0.1475,9.0
0.0176,0.0523,0.1515,0.5933,0.1853,7.0
0.0087,0.0129,0.0557,0.255,0.6677,10.0
0.9748,0.0224,0.0015,0.0003,0.001,1.0
0.0013,0.0015,0.0063,0.1246,0.8663,9.0
0.0038,0.0037,0.047,0.3515,0.5941,10.0
0.0017,0.0029,0.0179,0.2546,0.7229,8.0
0.0007,0.002,0.0383,0.6732,0.2857,8.0
0.0021,0.0021,0.0118,0.1201,0.8639,0.0
0.0194,0.0326,0.132,0.407,0.409,10.0
0.0022,0.0023,0.0156,0.1784,0.8014,9.0
0.0029,0.0133,0.1782,0.6619,0.1436,8.0
0.1964,0.1893,0.1674,0.2459,0.201,8.0
0.3045,0.2873,0.2543,0.1082,0.0456,10.0
0.0007,0.0006,0.0011,0.0199,0.9778,10.0
0.4125,0.1671,0.1355,0.108,0.1769,9.0
0.002,0.0031,0.0312,0.3446,0.6191,9.0
0.0007,0.0005,0.001,0.0112,0.9866,9.0
0.2176,0.4111,0.2938,0.0622,0.0154,7.0
0.0086,0.0092,0.017,0.1266,0.8387,10.0
0.0017,0.0014,0.0053,0.058,0.9336,9.0
0.0569,0.1876,0.2409,0.3932,0.1214,10.0
0.0016,0.0016,0.0119,0.1918,0.7931,9.0
0.1034,0.3686,0.2676,0.2162,0.0442,9.0
0.0169,0.0555,0.1704,0.5147,0.2425,9.0
0.0111,0.0248,0.0792,0.3972,0.4877,10.0
0.0153,0.0212,0.0503,0.299,0.6142,10.0
0.0011,0.0026,0.0461,0.4196,0.5305,9.0
0.0035,0.007,0.0208,0.212,0.7567,10.0
0.0116,0.0246,0.0318,0.1945,0.7376,10.0
0.1131,0.1803,0.2798,0.2501,0.1767,10.0
0.2256,0.5069,0.2232,0.0372,0.0071,1.0
0.7555,0.1695,0.0648,0.0071,0.0031,10.0
0.0144,0.0441,0.1243,0.4687,0.3484,8.0
0.0098,0.158,0.631,0.1937,0.0074,8.0
0.0052,0.0248,0.1178,0.5767,0.2756,10.0
0.0211,0.056,0.1623,0.4485,0.3121,10.0
0.0015,0.003,0.0099,0.1914,0.7942,10.0
0.0639,0.0807,0.0924,0.2194,0.5435,10.0
0.002,0.003,0.0075,0.1055,0.882,9.0
0.0555,0.0338,0.0647,0.1806,0.6655,10.0
0.0042,0.0068,0.0254,0.2333,0.7304,9.0
0.2082,0.4645,0.2122,0.0873,0.0278,8.0
0.0013,0.0013,0.004,0.0543,0.9391,10.0
0.001,0.003,0.023,0.3658,0.6072,10.0
0.0008,0.0009,0.003,0.0588,0.9366,9.0
0.0316,0.0959,0.2119,0.3808,0.2797,10.0
0.0091,0.0049,0.0114,0.0696,0.905,9.0
0.0049,0.0248,0.153,0.649,0.1683,10.0
0.3891,0.1215,0.0936,0.1119,0.2839,0.0
0.0282,0.4062,0.536,0.0286,0.001,3.0
0.0006,0.0006,0.0024,0.0482,0.9482,10.0
0.0006,0.0006,0.0027,0.0553,0.9408,10.0
0.0472,0.1708,0.2405,0.3959,0.1456,9.0
0.0041,0.0037,0.0116,0.117,0.8635,8.0
0.0105,0.916,0.0686,0.004,0.0009,5.0
0.0025,0.0051,0.0501,0.3875,0.5549,9.0
0.0041,0.0095,0.0498,0.451,0.4856,10.0
0.2256,0.4867,0.2555,0.028,0.0042,6.0
0.0016,0.0048,0.0371,0.5027,0.4539,10.0
0.003,0.0116,0.07,0.4037,0.5118,9.0
0.0755,0.2181,0.3452,0.2613,0.0998,7.0
0.001,0.0031,0.0242,0.4325,0.5392,9.0
0.0009,0.002,0.0102,0.3138,0.6731,10.0
0.0522,0.0657,0.1549,0.3082,0.419,9.0
0.0011,0.0028,0.033,0.4197,0.5434,8.0
0.0168,0.1382,0.373,0.4165,0.0555,8.0
0.0024,0.0322,0.3994,0.525,0.0409,7.0
0.0014,0.0009,0.0055,0.065,0.9271,9.0
0.5027,0.4072,0.0746,0.0097,0.0057,10.0
0.0076,0.0308,0.1255,0.5784,0.2576,10.0
0.256,0.4556,0.222,0.0624,0.0041,5.0
0.0042,0.0156,0.0704,0.5987,0.3113,8.0
0.0087,0.0104,0.033,0.1981,0.7497,9.0
0.0019,0.0025,0.0151,0.2207,0.7598,10.0
0.0609,0.5975,0.3261,0.0149,0.0007,5.0
0.1214,0.122,0.2807,0.2865,0.1894,9.0
0.0025,0.0022,0.0085,0.0735,0.9133,8.0
0.001,0.0008,0.0024,0.025,0.9708,10.0
0.0074,0.0596,0.338,0.4925,0.1024,8.0
0.0014,0.0014,0.0111,0.13,0.8562,10.0
0.0541,0.1244,0.1776,0.3336,0.3104,8.0
0.1851,0.2946,0.1426,0.3192,0.0585,8.0
0.017,0.2122,0.4673,0.2767,0.0268,10.0
0.6981,0.2437,0.0482,0.006,0.0041,2.0
0.4311,0.3532,0.125,0.0557,0.035,10.0
0.0815,0.0616,0.0722,0.1887,0.5961,10.0
0.0026,0.005,0.0196,0.2457,0.7271,10.0
0.1291,0.1705,0.1542,0.2313,0.3149,10.0
