0,1,2,3,4,5
0.048,0.1119,0.1588,0.3662,0.315,9.0
0.0016,0.0068,0.0835,0.6409,0.2671,9.0
0.4186,0.3473,0.184,0.0388,0.0113,10.0
0.0388,0.0643,0.095,0.3147,0.4871,8.0
0.0141,0.033,0.1718,0.6314,0.1497,7.0
0.0164,0.0495,0.1097,0.4213,0.4031,8.0
0.0015,0.0042,0.0356,0.5905,0.3681,10.0
0.0011,0.0023,0.0088,0.868,0.1199,8.0
0.0018,0.0036,0.0175,0.2429,0.7341,10.0
0.0033,0.0137,0.1092,0.6946,0.1792,9.0
0.0034,0.007,0.0255,0.3521,0.612,10.0
0.0043,0.0087,0.0376,0.4357,0.5137,7.0
0.001,0.0024,0.0225,0.3996,0.5745,8.0
0.0009,0.0037,0.057,0.753,0.1854,9.0
0.0064,0.1411,0.6462,0.2026,0.0038,5.0
0.0031,0.0393,0.4021,0.5435,0.0119,7.0
0.0259,0.0266,0.0397,0.1983,0.7096,10.0
0.0375,0.054,0.0546,0.2226,0.6312,10.0
0.0307,0.2549,0.4917,0.2117,0.0111,8.0
0.0239,0.1273,0.322,0.4101,0.1168,10.0
0.0007,0.0008,0.0032,0.1133,0.882,9.0
0.0045,0.0721,0.667,0.2461,0.0103,7.0
0.0299,0.0428,0.0628,0.2782,0.5863,10.0
0.1469,0.6144,0.19,0.0412,0.0075,7.0
0.0118,0.0705,0.3342,0.5453,0.0382,9.0
0.0144,0.2465,0.4928,0.2402,0.0061,8.0
0.0083,0.0312,0.0974,0.4501,0.413,8.0
0.0051,0.0067,0.0168,0.1551,0.8162,9.0
0.0415,0.3967,0.3392,0.1907,0.0319,10.0
0.001,0.0021,0.0132,0.1847,0.799,10.0
0.1371,0.4459,0.2643,0.1232,0.0296,10.0
0.0602,0.5138,0.4042,0.0206,0.0013,6.0
0.0128,0.1349,0.5891,0.2494,0.0138,8.0
0.031,0.1384,0.3165,0.4112,0.1028,9.0
0.1689,0.1671,0.1093,0.2555,0.2992,0.0
0.0006,0.0029,0.0441,0.6295,0.3228,9.0
0.0066,0.0237,0.0632,0.551,0.3556,9.0
0.2854,0.5577,0.1474,0.0081,0.0015,5.0
0.1784,0.11,0.0867,0.1739,0.451,10.0
0.0013,0.007,0.0772,0.7129,0.2016,9.0
0.0024,0.0201,0.2046,0.699,0.0739,10.0
0.0463,0.0664,0.072,0.1515,0.6638,10.0
0.0032,0.0037,0.0113,0.1735,0.8082,10.0
0.0022,0.0425,0.7134,0.2388,0.0032,8.0
0.7683,0.2112,0.0176,0.0017,0.0012,1.0
0.0094,0.0089,0.0171,0.1208,0.8438,10.0
0.0028,0.0054,0.0278,0.4018,0.5621,10.0
0.1913,0.4286,0.1579,0.2159,0.0064,4.0
0.832,0.1534,0.0125,0.0013,0.0008,1.0
0.0012,0.0009,0.0017,0.0181,0.9781,10.0
0.0009,0.0009,0.007,0.1217,0.8696,10.0
0.004,0.0445,0.3125,0.5791,0.0598,10.0
0.0006,0.0006,0.0028,0.0812,0.9148,10.0
0.2413,0.3193,0.2118,0.1569,0.0707,7.0
0.0022,0.0215,0.2281,0.7151,0.033,7.0
0.0006,0.0014,0.0371,0.5245,0.4363,9.0
0.001,0.001,0.0043,0.1174,0.8764,10.0
0.0007,0.0009,0.0068,0.2092,0.7823,10.0
0.0591,0.2959,0.4943,0.1371,0.0135,3.0
0.0005,0.0013,0.0351,0.614,0.3491,8.0
0.0007,0.0009,0.0068,0.2092,0.7823,10.0
0.0822,0.0897,0.1348,0.2727,0.4205,5.0
0.0109,0.0311,0.1221,0.5255,0.3104,9.0
0.1324,0.1322,0.0911,0.2684,0.3759,10.0
0.034,0.0593,0.0858,0.4579,0.3631,9.0
0.0026,0.0022,0.0038,0.0157,0.9757,10.0
0.0066,0.0203,0.0977,0.4513,0.4242,9.0
0.0027,0.003,0.0146,0.1702,0.8094,10.0
0.001,0.0017,0.0301,0.5254,0.4417,10.0
0.0021,0.0083,0.0808,0.6669,0.2418,4.0
0.0014,0.0033,0.0383,0.4561,0.5009,10.0
0.1957,0.2047,0.1313,0.2316,0.2368,9.0
0.0033,0.0046,0.0152,0.2143,0.7624,9.0
0.224,0.6609,0.1084,0.0056,0.001,2.0
0.0301,0.4553,0.4514,0.0603,0.0029,9.0
0.1135,0.1597,0.1369,0.342,0.2478,9.0
0.4305,0.1484,0.0478,0.0767,0.2966,9.0
0.0015,0.0017,0.0157,0.2429,0.7382,10.0
0.1507,0.5774,0.2416,0.0273,0.0031,6.0
0.0036,0.0045,0.0203,0.1663,0.8053,10.0
0.0084,0.0115,0.0253,0.1817,0.7732,10.0
0.1485,0.3491,0.2466,0.195,0.0608,7.0
0.0424,0.0769,0.113,0.4373,0.3304,8.0
0.0017,0.0116,0.0861,0.8812,0.0194,8.0
0.087,0.0849,0.1656,0.2827,0.3798,1.0
0.1958,0.5693,0.188,0.0415,0.0054,5.0
0.0083,0.0104,0.0488,0.2887,0.6437,10.0
0.006,0.0124,0.0458,0.3475,0.5882,10.0
0.0087,0.0239,0.107,0.5744,0.286,7.0
0.0545,0.0596,0.2288,0.4223,0.2348,10.0
0.0404,0.0378,0.0415,0.1929,0.6875,9.0
0.2536,0.5857,0.1471,0.0119,0.0016,6.0
0.0022,0.0062,0.1446,0.6512,0.1957,8.0
0.0046,0.0557,0.2626,0.6,0.0771,7.0
0.001,0.0067,0.0631,0.7588,0.1704,8.0
0.0058,0.0146,0.0536,0.5979,0.328,9.0
0.0047,0.0118,0.0296,0.3957,0.5582,0.0
0.0026,0.0144,0.316,0.6092,0.0578,9.0
0.0006,0.0032,0.0982,0.8241,0.074,10.0
0.007,0.0249,0.1881,0.5715,0.2085,9.0
0.0085,0.0507,0.4077,0.4646,0.0684,7.0
0.0079,0.0153,0.0254,0.2117,0.7397,10.0
0.1235,0.3122,0.2624,0.2182,0.0837,8.0
0.0022,0.0024,0.0141,0.1804,0.8009,0.0
0.0532,0.079,0.1256,0.321,0.4212,10.0
0.0564,0.4026,0.491,0.0456,0.0044,6.0
0.0043,0.0238,0.1282,0.5666,0.277,9.0
0.0352,0.019,0.0167,0.1106,0.8186,10.0
0.7823,0.1652,0.0368,0.0096,0.0061,6.0
0.0025,0.0156,0.1049,0.577,0.3,9.0
0.0008,0.0023,0.0315,0.5024,0.4631,8.0
0.0157,0.0316,0.0884,0.3912,0.4731,10.0
0.0022,0.0019,0.0094,0.1135,0.8731,10.0
0.1135,0.1596,0.3168,0.319,0.0911,8.0
0.0033,0.0124,0.0693,0.5104,0.4045,9.0
0.002,0.0014,0.0028,0.017,0.9769,10.0
0.024,0.0582,0.1923,0.5219,0.2036,7.0
0.0033,0.0216,0.4504,0.4866,0.0381,7.0
0.002,0.0019,0.0063,0.0478,0.942,10.0
0.0023,0.0062,0.0407,0.498,0.4528,8.0
0.0081,0.0097,0.0262,0.1784,0.7776,9.0
0.0372,0.2429,0.3117,0.2915,0.1167,10.0
0.0226,0.0634,0.1442,0.4297,0.3401,9.0
0.0085,0.0614,0.3422,0.5089,0.0789,3.0
0.0145,0.0342,0.1979,0.5058,0.2476,9.0
