0,1,2,3,4,5
0.0049,0.014,0.0356,0.2421,0.7034,9.0
0.0605,0.0548,0.0482,0.0994,0.7371,10.0
0.0478,0.3718,0.4263,0.1413,0.0128,10.0
0.0014,0.0033,0.0198,0.3619,0.6136,10.0
0.0117,0.0346,0.138,0.4904,0.3254,9.0
0.0802,0.5846,0.2897,0.0423,0.0032,4.0
0.0504,0.1958,0.1471,0.34,0.2666,9.0
0.0009,0.0041,0.0417,0.5883,0.365,10.0
0.0011,0.0022,0.0157,0.3094,0.6715,9.0
0.3998,0.4155,0.1053,0.0468,0.0327,9.0
0.0732,0.2559,0.4457,0.1932,0.0321,5.0
0.0476,0.0611,0.0853,0.2685,0.5375,4.0
0.0027,0.0067,0.0293,0.4298,0.5315,9.0
0.0512,0.0706,0.1212,0.3446,0.4124,10.0
0.0052,0.0238,0.0937,0.8189,0.0584,9.0
0.1062,0.5124,0.3548,0.0253,0.0014,6.0
0.0016,0.0013,0.0024,0.0287,0.9661,10.0
0.0011,0.0014,0.0047,0.0968,0.896,10.0
0.0245,0.0504,0.1294,0.4383,0.3574,10.0
0.0026,0.0289,0.3566,0.5753,0.0366,9.0
0.0015,0.0027,0.0101,0.1386,0.8471,10.0
0.0056,0.0218,0.1032,0.6458,0.2236,7.0
0.1044,0.5268,0.2952,0.0654,0.0083,10.0
0.0378,0.3024,0.4646,0.1864,0.0088,5.0
0.0062,0.1281,0.7656,0.0973,0.0029,6.0
0.0022,0.0091,0.1084,0.6051,0.2752,9.0
0.0009,0.0007,0.0017,0.025,0.9718,9.0
0.0121,0.0694,0.2147,0.5346,0.1691,9.0
0.0073,0.0264,0.1264,0.6707,0.1692,9.0
0.0009,0.0007,0.005,0.0817,0.9118,10.0
0.0027,0.0088,0.0516,0.4482,0.4887,8.0
0.0008,0.0008,0.0061,0.1251,0.8672,10.0
0.0013,0.0007,0.0012,0.0111,0.9857,9.0
0.1382,0.658,0.1935,0.0093,0.001,5.0
0.0067,0.0265,0.1449,0.4688,0.3531,10.0
0.002,0.0029,0.0147,0.1817,0.7987,8.0
0.0242,0.1748,0.621,0.1688,0.0112,9.0
0.3435,0.3291,0.2008,0.0839,0.0427,9.0
0.0013,0.0029,0.0288,0.6167,0.3502,10.0
0.0059,0.0391,0.2275,0.561,0.1664,9.0
0.01,0.1,0.5731,0.2842,0.0327,8.0
0.001,0.0012,0.0046,0.0807,0.9125,10.0
0.002,0.0019,0.0058,0.0394,0.9509,10.0
0.0013,0.0014,0.0037,0.073,0.9207,10.0
0.3575,0.489,0.1176,0.0261,0.0098,0.0
0.0038,0.0176,0.1234,0.555,0.3001,10.0
0.6452,0.3148,0.0319,0.0055,0.0026,1.0
0.002,0.0138,0.2723,0.6649,0.0471,9.0
0.0021,0.0021,0.0053,0.079,0.9115,9.0
0.0009,0.0006,0.0022,0.0299,0.9664,10.0
0.0012,0.001,0.0035,0.0333,0.961,10.0
0.0016,0.0041,0.0394,0.5059,0.4491,10.0
0.0815,0.1963,0.1087,0.2385,0.375,10.0
0.0055,0.0062,0.0162,0.1699,0.8021,9.0
0.0023,0.0049,0.0404,0.3755,0.5768,10.0
0.0348,0.1272,0.3238,0.3311,0.1832,9.0
0.0311,0.2765,0.5171,0.1626,0.0127,6.0
0.0077,0.02,0.0622,0.3506,0.5595,10.0
0.2538,0.1377,0.0524,0.0787,0.4774,9.0
0.0158,0.009,0.006,0.0398,0.9294,10.0
0.0008,0.001,0.0074,0.1445,0.8464,0.0
0.0008,0.0008,0.0016,0.0232,0.9736,10.0
0.0008,0.0008,0.0015,0.0236,0.9733,10.0
0.0177,0.057,0.2393,0.4749,0.2112,3.0
0.0198,0.2906,0.5897,0.0953,0.0046,4.0
0.0073,0.0292,0.1443,0.5606,0.2586,4.0
0.0016,0.002,0.0108,0.1495,0.8361,9.0
0.4196,0.366,0.0958,0.0556,0.063,9.0
0.0006,0.0007,0.0023,0.0419,0.9545,9.0
0.0209,0.1598,0.4305,0.3072,0.0816,9.0
0.0897,0.5106,0.2573,0.1137,0.0287,10.0
0.0283,0.1856,0.3551,0.386,0.045,8.0
0.0033,0.0057,0.0223,0.2184,0.7503,8.0
0.0014,0.0017,0.0092,0.1428,0.8449,8.0
0.0024,0.009,0.0993,0.6857,0.2036,8.0
0.1145,0.4179,0.3123,0.1173,0.0381,10.0
0.004,0.0024,0.0019,0.0117,0.98,10.0
0.0008,0.0013,0.0111,0.2196,0.7673,9.0
0.0609,0.2157,0.2358,0.3618,0.1258,7.0
0.0019,0.0328,0.4328,0.5136,0.0189,8.0
0.754,0.213,0.0245,0.0046,0.0039,1.0
0.0006,0.0006,0.0036,0.0873,0.9079,9.0
0.0024,0.0019,0.0065,0.0632,0.926,10.0
0.0022,0.0038,0.0286,0.3345,0.6309,7.0
0.0143,0.1178,0.4238,0.3882,0.0558,8.0
0.0014,0.003,0.0189,0.2587,0.7181,10.0
0.0046,0.006,0.0084,0.0631,0.9179,10.0
0.0005,0.0006,0.0022,0.0501,0.9466,10.0
0.0006,0.0008,0.0061,0.1414,0.8511,10.0
0.1664,0.5493,0.2622,0.0196,0.0024,3.0
0.0014,0.0021,0.0137,0.265,0.7178,10.0
0.0067,0.0081,0.0469,0.2853,0.653,10.0
0.1351,0.5584,0.2846,0.0201,0.0018,4.0
0.0371,0.0215,0.0347,0.1291,0.7775,10.0
0.0173,0.025,0.0816,0.2632,0.6129,9.0
0.0012,0.0014,0.0116,0.1666,0.8191,10.0
0.001,0.0008,0.005,0.1412,0.852,10.0
0.0148,0.0214,0.0422,0.173,0.7486,10.0
0.0012,0.0008,0.0026,0.0155,0.9799,10.0
