0,1,2,3,4,5
0.0087,0.0368,0.1294,0.5227,0.3023,8.0
0.0011,0.0026,0.0194,0.4104,0.5665,9.0
0.0089,0.0178,0.0456,0.2604,0.6673,9.0
0.0027,0.0091,0.0581,0.4256,0.5045,10.0
0.0071,0.0115,0.0402,0.3495,0.5916,10.0
0.002,0.0046,0.0287,0.4712,0.4935,8.0
0.0036,0.0093,0.0336,0.3822,0.5713,10.0
0.0042,0.0133,0.041,0.3636,0.578,8.0
0.0023,0.0046,0.02,0.34,0.6331,9.0
0.0014,0.0026,0.0116,0.2361,0.7484,10.0
0.0014,0.0012,0.003,0.032,0.9624,10.0
0.005,0.0387,0.2678,0.6058,0.0828,8.0
0.0102,0.0376,0.1084,0.4623,0.3815,10.0
0.0035,0.0063,0.0225,0.2675,0.7003,10.0
0.0592,0.233,0.2384,0.3375,0.1318,10.0
0.0228,0.2891,0.5096,0.1633,0.0152,5.0
0.001,0.0012,0.0039,0.0745,0.9194,8.0
0.0033,0.0054,0.019,0.1924,0.78,10.0
0.0519,0.1296,0.2935,0.2861,0.2388,9.0
0.0007,0.001,0.0061,0.2009,0.7914,10.0
0.0014,0.0127,0.342,0.58,0.0639,7.0
0.0013,0.0031,0.0181,0.3778,0.5997,9.0
0.0007,0.0013,0.0044,0.0958,0.8978,10.0
0.0024,0.0097,0.0993,0.5685,0.3201,10.0
0.0448,0.1355,0.1188,0.2762,0.4248,9.0
0.0032,0.0293,0.2105,0.6597,0.0974,10.0
0.0047,0.0175,0.1337,0.4983,0.3457,10.0
0.0011,0.0022,0.0113,0.1743,0.811,10.0
0.0007,0.0011,0.0034,0.0624,0.9324,10.0
0.003,0.0106,0.0401,0.4839,0.4624,8.0
0.0027,0.0076,0.0381,0.3429,0.6087,10.0
0.0013,0.0009,0.0017,0.0197,0.9764,10.0
0.0055,0.0297,0.2233,0.6117,0.1299,8.0
0.0035,0.029,0.2358,0.6479,0.0838,8.0
0.0047,0.0074,0.0131,0.1712,0.8036,8.0
0.0112,0.0102,0.018,0.0988,0.8618,10.0
0.0016,0.0012,0.0064,0.0744,0.9163,9.0
0.005,0.013,0.0545,0.3784,0.5492,10.0
0.0161,0.0366,0.0775,0.3738,0.496,9.0
0.0005,0.0005,0.0012,0.0252,0.9726,10.0
0.0016,0.0062,0.0472,0.6072,0.3379,7.0
0.0034,0.0343,0.2918,0.5933,0.0773,9.0
0.0032,0.0027,0.0142,0.0683,0.9116,10.0
0.0247,0.0724,0.1726,0.4622,0.268,10.0
0.0403,0.3038,0.5058,0.1371,0.0129,7.0
0.0014,0.0012,0.0024,0.0304,0.9645,9.0
0.012,0.0192,0.0268,0.1293,0.8127,10.0
0.0091,0.0647,0.3084,0.5449,0.0728,9.0
0.0028,0.0602,0.7665,0.1644,0.0061,8.0
0.001,0.0007,0.0057,0.0991,0.8934,10.0
0.0066,0.0058,0.0182,0.1283,0.8412,10.0
0.0024,0.0053,0.0369,0.7593,0.1961,10.0
0.0257,0.0807,0.2506,0.4276,0.2153,10.0
0.001,0.001,0.0095,0.1193,0.8693,10.0
0.0004,0.0004,0.0019,0.0449,0.9525,10.0
0.0008,0.0008,0.0024,0.0462,0.9498,10.0
0.0029,0.0061,0.0692,0.521,0.4008,10.0
0.0006,0.0006,0.0023,0.0382,0.9583,10.0
0.0374,0.0788,0.1774,0.3501,0.3564,10.0
0.003,0.0115,0.0554,0.6516,0.2785,8.0
0.0004,0.0005,0.0039,0.0987,0.8965,0.0
0.0015,0.0014,0.0024,0.0274,0.9673,9.0
0.0012,0.0015,0.0113,0.1852,0.8008,10.0
