0,1,2,3,4,5
0.0045,0.0126,0.0457,0.3737,0.5635,10.0
0.0112,0.024,0.0514,0.2997,0.6137,9.0
0.0386,0.1359,0.3131,0.3795,0.133,10.0
0.0018,0.0023,0.0034,0.0617,0.9309,10.0
0.003,0.0096,0.1052,0.813,0.0692,7.0
0.0019,0.0043,0.0169,0.2855,0.6914,10.0
0.0033,0.0245,0.1585,0.6539,0.1597,9.0
0.0057,0.0284,0.117,0.6084,0.2405,7.0
0.0014,0.003,0.0103,0.1691,0.8162,10.0
0.0035,0.0096,0.0426,0.3603,0.5841,9.0
0.0037,0.0323,0.2019,0.6414,0.1207,8.0
0.0041,0.0295,0.2654,0.5255,0.1755,10.0
0.0651,0.1214,0.1347,0.3239,0.355,10.0
0.0018,0.0057,0.037,0.5283,0.4271,10.0
0.0127,0.0412,0.1729,0.5751,0.1981,9.0
0.0013,0.0019,0.0053,0.0599,0.9315,10.0
0.0063,0.0372,0.1807,0.6232,0.1525,10.0
0.0056,0.0289,0.1358,0.58,0.2496,10.0
0.0948,0.4248,0.3664,0.0986,0.0155,6.0
0.1404,0.4149,0.2494,0.1617,0.0336,9.0
0.041,0.0992,0.2673,0.384,0.2085,10.0
0.0367,0.1453,0.3393,0.376,0.1028,10.0
0.0018,0.0067,0.0275,0.3614,0.6026,10.0
0.0027,0.0244,0.2244,0.6997,0.0489,7.0
0.0047,0.0283,0.4038,0.5396,0.0236,8.0
0.0041,0.0382,0.4339,0.5105,0.0133,7.0
0.0024,0.0068,0.0443,0.4162,0.5303,10.0
0.007,0.0615,0.3498,0.5271,0.0547,9.0
0.0014,0.0023,0.0062,0.1001,0.89,8.0
0.0015,0.0042,0.03,0.4041,0.5602,10.0
0.0263,0.0169,0.0262,0.0923,0.8383,10.0
0.0027,0.0275,0.3809,0.4973,0.0917,9.0
0.0083,0.0676,0.2212,0.5456,0.1573,10.0
0.0158,0.0195,0.0216,0.1319,0.8112,10.0
0.004,0.0203,0.1869,0.5058,0.283,8.0
0.0138,0.0297,0.1433,0.4456,0.3676,10.0
0.0037,0.0556,0.5113,0.4123,0.017,7.0
0.0797,0.3334,0.4342,0.1417,0.011,7.0
0.009,0.0821,0.5442,0.3425,0.0222,4.0
0.0462,0.2678,0.3482,0.2967,0.041,8.0
0.0069,0.0185,0.0519,0.4436,0.4791,10.0
0.0059,0.0608,0.3598,0.5161,0.0574,10.0
0.008,0.0693,0.3426,0.4941,0.086,8.0
0.008,0.0152,0.0345,0.2703,0.672,10.0
0.0023,0.005,0.0245,0.3509,0.6173,8.0
0.0034,0.0115,0.0441,0.3514,0.5896,10.0
