0,1,2,3,4,5
0.2361,0.1251,0.0913,0.136,0.4116,10.0
0.0011,0.0034,0.0638,0.8134,0.1183,9.0
0.0188,0.1688,0.4795,0.3078,0.0251,0.0
0.0181,0.121,0.2919,0.4515,0.1175,10.0
0.0237,0.0634,0.1767,0.4234,0.3128,10.0
0.003,0.0215,0.1879,0.6783,0.1094,9.0
0.0037,0.0204,0.1881,0.6142,0.1736,10.0
0.055,0.2181,0.3135,0.341,0.0724,10.0
0.0067,0.0389,0.3245,0.5723,0.0576,0.0
0.0339,0.2517,0.3781,0.3134,0.0229,10.0
0.0022,0.006,0.025,0.3457,0.6211,10.0
0.0275,0.0891,0.2038,0.4041,0.2755,10.0
0.0014,0.0046,0.0439,0.5589,0.3912,9.0
0.0008,0.0026,0.0365,0.8704,0.0898,9.0
0.0045,0.0134,0.0377,0.3324,0.612,9.0
0.0017,0.0031,0.014,0.1766,0.8046,10.0
0.0058,0.0383,0.2653,0.5956,0.095,9.0
0.0109,0.0405,0.0606,0.3352,0.5528,10.0
0.0012,0.0022,0.0083,0.1569,0.8314,10.0
0.0015,0.0022,0.0071,0.1173,0.8719,8.0
0.0015,0.0059,0.0487,0.5593,0.3847,10.0
0.001,0.0012,0.0033,0.0356,0.959,10.0
0.0013,0.001,0.0019,0.0266,0.9693,9.0
0.0248,0.0467,0.0747,0.3119,0.542,7.0
0.0067,0.0249,0.1001,0.4429,0.4253,10.0
0.0885,0.259,0.3326,0.2732,0.0467,6.0
0.0103,0.0885,0.3435,0.4867,0.0709,8.0
0.0217,0.1123,0.5297,0.3218,0.0145,7.0
0.044,0.2475,0.386,0.2861,0.0365,10.0
0.0632,0.1173,0.2431,0.2806,0.2958,10.0
0.0293,0.1362,0.3245,0.4158,0.0942,8.0
0.0018,0.0122,0.1482,0.7396,0.0982,9.0
0.0086,0.0188,0.0365,0.4482,0.4879,8.0
0.0011,0.0014,0.0035,0.0526,0.9414,10.0
0.1952,0.3748,0.1747,0.1554,0.0999,10.0
0.0087,0.0417,0.2002,0.5044,0.2449,7.0
0.0715,0.0645,0.0561,0.176,0.6319,10.0
0.0008,0.0145,0.477,0.5003,0.0074,7.0
0.1355,0.2382,0.4075,0.1709,0.0478,9.0
0.0032,0.0228,0.1959,0.6768,0.1013,10.0
0.0105,0.0861,0.2367,0.5177,0.1489,8.0
0.0435,0.0435,0.0346,0.1514,0.7271,9.0
0.0153,0.0879,0.3492,0.4314,0.1163,10.0
0.0021,0.004,0.0172,0.2286,0.7481,10.0
0.0011,0.0096,0.1758,0.7867,0.0267,8.0
0.6102,0.3591,0.0228,0.0046,0.0032,1.0
0.0015,0.0082,0.2152,0.6893,0.0858,10.0
0.0304,0.0179,0.0224,0.0865,0.8427,10.0
0.0097,0.0608,0.311,0.5245,0.094,10.0
0.0014,0.0111,0.1757,0.6763,0.1356,9.0
0.0057,0.1356,0.7199,0.136,0.0028,8.0
0.0034,0.0079,0.0397,0.3323,0.6167,10.0
0.0452,0.6678,0.2787,0.0077,0.0005,5.0
0.0039,0.0684,0.6357,0.2819,0.0101,7.0
0.0019,0.0013,0.0021,0.0109,0.9838,8.0
0.0308,0.1068,0.2525,0.4353,0.1746,9.0
0.1063,0.1522,0.2802,0.2894,0.172,0.0
0.0096,0.012,0.0292,0.2364,0.7128,9.0
0.0096,0.0206,0.062,0.3866,0.5212,10.0
0.0009,0.0007,0.0026,0.0497,0.946,9.0
0.0671,0.3074,0.431,0.1685,0.026,9.0
0.0013,0.0114,0.1316,0.8197,0.0359,8.0
0.0042,0.0252,0.1538,0.611,0.2059,9.0
0.0013,0.0012,0.0028,0.0579,0.9367,0.0
0.0662,0.4562,0.4366,0.0389,0.0021,10.0
0.0025,0.0029,0.0089,0.146,0.8396,9.0
0.0021,0.0098,0.0581,0.6524,0.2776,8.0
0.0147,0.1173,0.6456,0.2169,0.0055,7.0
0.0054,0.0557,0.4966,0.4239,0.0184,10.0
0.0092,0.0238,0.0721,0.3886,0.5062,10.0
0.0083,0.1488,0.6904,0.1486,0.0038,7.0
0.1041,0.3299,0.2424,0.2354,0.0883,6.0
0.0037,0.0099,0.0471,0.424,0.5152,10.0
0.0099,0.0886,0.6125,0.2768,0.0123,7.0
0.0064,0.0537,0.5553,0.3737,0.0109,8.0
0.0014,0.0029,0.015,0.2717,0.7089,10.0
0.0011,0.0034,0.0505,0.5303,0.4148,10.0
0.0075,0.0465,0.26,0.6064,0.0795,9.0
0.0024,0.0045,0.0368,0.3098,0.6465,8.0
0.0118,0.0758,0.2845,0.5356,0.0923,10.0
0.0014,0.0032,0.0138,0.2828,0.6988,9.0
0.0073,0.0116,0.0131,0.8007,0.1673,8.0
0.0326,0.2748,0.4246,0.2194,0.0487,7.0
0.0276,0.3911,0.506,0.0713,0.004,2.0
0.0937,0.1642,0.1805,0.3045,0.257,9.0
0.0034,0.0115,0.0477,0.4547,0.4827,9.0
0.0013,0.0026,0.0122,0.219,0.7649,9.0
0.0618,0.293,0.3605,0.2412,0.0435,10.0
0.0196,0.0594,0.0757,0.3335,0.5118,10.0
0.0009,0.001,0.0105,0.2294,0.7582,10.0
