0,1,2,3,4,5
0.002,0.0377,0.5391,0.4139,0.0074,7.0
0.0024,0.0038,0.0089,0.1452,0.8398,10.0
0.0221,0.0262,0.0319,0.0831,0.8367,10.0
0.1086,0.7468,0.1344,0.0091,0.0011,4.0
0.0045,0.0101,0.0392,0.3001,0.646,10.0
0.6827,0.1831,0.0536,0.0344,0.0463,10.0
0.0092,0.0386,0.1145,0.6349,0.2028,8.0
0.0028,0.0118,0.0772,0.6364,0.2719,10.0
0.0149,0.018,0.0245,0.0885,0.8542,10.0
0.0038,0.0156,0.0791,0.5674,0.3342,8.0
0.0036,0.0123,0.0476,0.5379,0.3986,8.0
0.0153,0.0711,0.1744,0.461,0.2781,7.0
0.0018,0.0048,0.018,0.3063,0.6691,9.0
0.4701,0.3091,0.0896,0.0623,0.0689,10.0
0.0396,0.1334,0.171,0.3738,0.2822,10.0
0.002,0.0056,0.036,0.5266,0.4298,10.0
0.0171,0.1696,0.3553,0.3978,0.0602,9.0
0.0014,0.0025,0.0107,0.1656,0.8198,10.0
0.0027,0.0026,0.0089,0.1404,0.8454,10.0
0.0113,0.0558,0.3467,0.51,0.0761,7.0
0.0014,0.0022,0.0057,0.1371,0.8536,10.0
0.0209,0.0322,0.0423,0.2261,0.6785,10.0
0.0039,0.0405,0.396,0.5174,0.0422,8.0
0.0121,0.1105,0.4185,0.4119,0.047,7.0
0.0013,0.0031,0.0203,0.3376,0.6377,9.0
0.0162,0.0664,0.1544,0.428,0.335,9.0
0.0037,0.0102,0.0681,0.646,0.272,9.0
0.2354,0.5003,0.1984,0.0536,0.0123,2.0
0.007,0.0271,0.146,0.5232,0.2967,9.0
0.0138,0.1539,0.4778,0.3345,0.0201,9.0
0.0048,0.0257,0.1582,0.5713,0.2399,10.0
0.0025,0.0024,0.0035,0.0352,0.9564,9.0
0.0063,0.0132,0.0296,0.2577,0.6932,10.0
0.0593,0.1083,0.2363,0.3372,0.2589,9.0
0.0311,0.3301,0.5165,0.1151,0.0072,6.0
0.0024,0.0244,0.2123,0.6917,0.0692,7.0
0.1131,0.1328,0.1179,0.2625,0.3738,9.0
0.5848,0.3863,0.0264,0.0017,0.0007,6.0
0.0029,0.0254,0.2469,0.6777,0.047,8.0
0.0004,0.0009,0.0105,0.3228,0.6654,8.0
0.0009,0.0009,0.0017,0.0237,0.9729,10.0
0.0778,0.1775,0.258,0.4314,0.0553,8.0
0.0011,0.0024,0.0147,0.3122,0.6696,10.0
0.002,0.0029,0.0075,0.1327,0.8549,10.0
0.0427,0.0773,0.1123,0.3912,0.3764,10.0
0.0246,0.0512,0.091,0.3662,0.4671,10.0
0.0261,0.1851,0.4462,0.319,0.0235,7.0
0.0039,0.0069,0.0169,0.2039,0.7684,10.0
0.0008,0.0024,0.0251,0.3476,0.6242,9.0
0.0045,0.0082,0.0278,0.2419,0.7175,8.0
0.1583,0.1747,0.1543,0.1957,0.317,10.0
0.0016,0.0288,0.5785,0.3834,0.0078,8.0
0.0071,0.0435,0.2153,0.5634,0.1707,9.0
0.0023,0.0089,0.0783,0.5835,0.327,10.0
0.4608,0.487,0.0496,0.0021,0.0004,5.0
0.024,0.1662,0.3776,0.3314,0.1008,9.0
0.0208,0.0727,0.1217,0.4168,0.368,0.0
0.0006,0.0012,0.0111,0.2998,0.6872,10.0
0.0379,0.0559,0.1148,0.3627,0.4287,9.0
0.7856,0.1932,0.0148,0.0032,0.0033,1.0
0.0838,0.1107,0.0898,0.2573,0.4583,10.0
0.0265,0.0681,0.1198,0.4517,0.3339,10.0
0.0052,0.0214,0.1578,0.6099,0.2056,9.0
0.0086,0.0631,0.3223,0.516,0.0899,10.0
0.0028,0.0045,0.0114,0.1609,0.8203,9.0
0.0008,0.0007,0.0042,0.1185,0.8759,8.0
0.0005,0.0007,0.0035,0.0694,0.9259,9.0
0.0024,0.0029,0.0096,0.1179,0.8672,10.0
0.004,0.03,0.3151,0.6048,0.0461,8.0
0.0975,0.1533,0.2865,0.3574,0.1053,9.0
0.0016,0.0104,0.1015,0.8213,0.0652,9.0
0.0115,0.0825,0.3696,0.522,0.0144,6.0
0.0041,0.0052,0.0101,0.0931,0.8876,10.0
0.0412,0.3776,0.5434,0.0353,0.0025,8.0
0.0008,0.001,0.0025,0.0497,0.9461,8.0
0.0793,0.1525,0.1563,0.313,0.2989,8.0
0.0022,0.0195,0.3586,0.5883,0.0315,8.0
0.0009,0.0018,0.0106,0.202,0.7847,10.0
0.0012,0.0018,0.0088,0.1816,0.8066,10.0
0.0009,0.0016,0.0082,0.1866,0.8028,10.0
0.01,0.0418,0.1405,0.583,0.2247,9.0
0.0097,0.0383,0.1971,0.6524,0.1026,9.0
0.0007,0.0008,0.0039,0.1474,0.8472,10.0
0.0034,0.0088,0.0339,0.3264,0.6276,9.0
0.0057,0.0144,0.1477,0.4949,0.3373,9.0
0.0023,0.0046,0.0287,0.3385,0.6259,10.0
0.0015,0.0013,0.003,0.0209,0.9734,10.0
0.852,0.09,0.0121,0.0074,0.0385,8.0
0.0059,0.0449,0.3478,0.5624,0.039,0.0
0.0044,0.0063,0.0278,0.2573,0.7043,10.0
0.0039,0.0117,0.0793,0.4356,0.4695,9.0
0.1122,0.4883,0.2565,0.1176,0.0254,7.0
0.0765,0.0466,0.0544,0.1739,0.6487,10.0
0.0012,0.0017,0.0066,0.0947,0.8958,10.0
0.0155,0.0234,0.0596,0.2568,0.6448,10.0
0.0011,0.0018,0.0075,0.1007,0.8889,9.0
0.1069,0.4454,0.3942,0.0505,0.0031,7.0
0.0127,0.0752,0.2832,0.5083,0.1205,9.0
0.0077,0.0565,0.3987,0.4793,0.0578,8.0
0.0007,0.0009,0.0025,0.0557,0.9402,10.0
0.0012,0.0013,0.0032,0.04,0.9542,10.0
0.0042,0.0064,0.0351,0.2902,0.6641,9.0
0.0035,0.0084,0.0208,0.1688,0.7986,10.0
0.0053,0.0098,0.0384,0.2555,0.6909,10.0
0.0015,0.0021,0.013,0.1831,0.8003,8.0
0.0196,0.0796,0.1971,0.4803,0.2234,8.0
0.0491,0.1727,0.3928,0.3192,0.0662,8.0
0.0011,0.0008,0.0031,0.0558,0.9392,10.0
0.001,0.0029,0.0837,0.6651,0.2474,9.0
0.043,0.5808,0.3671,0.0087,0.0004,6.0
0.0007,0.0009,0.0068,0.2092,0.7823,8.0
0.0034,0.0169,0.1231,0.6841,0.1725,10.0
0.0024,0.0049,0.0205,0.1769,0.7952,10.0
0.0011,0.0038,0.08,0.6149,0.3002,8.0
0.0023,0.0033,0.0164,0.1716,0.8064,10.0
