0,1,2,3,4,5
0.0017,0.0041,0.0215,0.3614,0.6113,10.0
0.0031,0.01,0.0354,0.4761,0.4754,10.0
0.0016,0.0156,0.1513,0.751,0.0805,7.0
0.0006,0.0019,0.0304,0.5529,0.4141,10.0
0.0011,0.0023,0.0111,0.2231,0.7625,9.0
0.0017,0.0046,0.0424,0.5182,0.4332,10.0
0.0007,0.0029,0.0568,0.7499,0.1898,9.0
0.0014,0.0075,0.0657,0.5964,0.329,10.0
0.0047,0.0259,0.1589,0.6554,0.1551,9.0
0.005,0.0152,0.0806,0.528,0.3712,7.0
0.0013,0.0014,0.004,0.075,0.9183,10.0
0.0025,0.0023,0.003,0.0179,0.9743,10.0
0.0014,0.0056,0.0486,0.5149,0.4294,10.0
0.0006,0.002,0.0331,0.7169,0.2475,10.0
0.0107,0.0508,0.1734,0.5696,0.1955,8.0
0.0047,0.0141,0.0578,0.4974,0.426,9.0
0.0037,0.005,0.0179,0.1533,0.8202,10.0
0.0013,0.0035,0.0217,0.3576,0.6159,10.0
0.0019,0.0032,0.0127,0.2124,0.7698,10.0
0.0005,0.0004,0.0009,0.0195,0.9786,10.0
0.0014,0.0019,0.0059,0.1185,0.8723,10.0
0.0052,0.0349,0.2474,0.6342,0.0783,8.0
0.0007,0.0016,0.0135,0.3161,0.668,9.0
0.0221,0.0911,0.144,0.4946,0.2482,7.0
0.004,0.0104,0.0803,0.5872,0.3182,9.0
0.0108,0.0529,0.217,0.5836,0.1356,10.0
0.0114,0.0249,0.0796,0.3967,0.4875,8.0
0.0011,0.0033,0.0213,0.3157,0.6586,10.0
0.0061,0.0213,0.0775,0.56,0.335,9.0
0.0025,0.0033,0.0077,0.0676,0.9188,10.0
0.0019,0.0052,0.0293,0.3453,0.6184,7.0
0.05,0.3281,0.4513,0.1539,0.0167,1.0
0.0031,0.0659,0.6185,0.303,0.0095,6.0
0.0382,0.176,0.2216,0.3326,0.2316,0.0
0.0011,0.0023,0.0137,0.2754,0.7075,10.0
