0,1,2,3,4,5
0.0071,0.0143,0.0608,0.4308,0.4869,9.0
0.3066,0.3987,0.2628,0.0273,0.0046,7.0
0.0015,0.004,0.0313,0.4164,0.5468,10.0
0.003,0.0051,0.0228,0.3472,0.6219,0.0
0.0034,0.0176,0.2154,0.6218,0.1417,10.0
0.0009,0.0039,0.0667,0.7153,0.2132,9.0
0.0052,0.021,0.1405,0.5748,0.2585,9.0
0.0076,0.013,0.0339,0.2665,0.679,10.0
0.0086,0.0566,0.2506,0.5946,0.0897,8.0
0.0214,0.1604,0.425,0.3604,0.0328,9.0
0.0025,0.0125,0.1157,0.6775,0.1918,10.0
0.0084,0.168,0.6414,0.176,0.0063,6.0
0.0187,0.0507,0.1101,0.3559,0.4646,10.0
0.0083,0.0078,0.0091,0.0647,0.91,10.0
0.0166,0.0967,0.3135,0.4936,0.0796,8.0
0.1505,0.0696,0.0676,0.1114,0.6009,10.0
0.0085,0.0263,0.2085,0.5555,0.2012,9.0
0.0196,0.0475,0.0885,0.2843,0.5602,10.0
0.0123,0.0515,0.2899,0.5093,0.1371,9.0
0.0064,0.0319,0.1736,0.5578,0.2303,10.0
0.0607,0.4904,0.3354,0.1026,0.0109,9.0
0.0188,0.0841,0.3272,0.495,0.0748,9.0
0.0035,0.0065,0.035,0.3017,0.6533,8.0
0.2346,0.6615,0.0933,0.0084,0.0022,6.0
0.0014,0.0054,0.0687,0.6654,0.2591,10.0
0.0305,0.0157,0.0111,0.0624,0.8803,10.0
0.0023,0.016,0.2317,0.6635,0.0865,10.0
0.0109,0.0382,0.1332,0.5036,0.314,10.0
0.0049,0.0104,0.0325,0.2178,0.7343,10.0
0.0006,0.0028,0.1174,0.7992,0.08,8.0
0.0215,0.1129,0.2688,0.5379,0.059,10.0
0.0054,0.0222,0.0931,0.6013,0.278,10.0
0.0026,0.0395,0.521,0.4222,0.0147,10.0
0.0178,0.1094,0.3397,0.4309,0.1022,9.0
0.0081,0.1062,0.3942,0.419,0.0726,10.0
0.0335,0.1148,0.1989,0.468,0.1849,8.0
0.0008,0.0042,0.096,0.7798,0.1192,9.0
0.0005,0.0011,0.0118,0.396,0.5906,9.0
0.0046,0.0124,0.0599,0.531,0.3921,10.0
0.092,0.2906,0.357,0.2124,0.048,10.0
0.0702,0.1086,0.1223,0.3052,0.3938,9.0
0.0089,0.0161,0.071,0.4632,0.4407,10.0
0.0046,0.0105,0.0663,0.5937,0.3249,10.0
0.0011,0.002,0.0077,0.1346,0.8546,9.0
0.0063,0.1097,0.5045,0.3534,0.026,8.0
0.0616,0.1609,0.1749,0.2924,0.3102,10.0
0.0093,0.0228,0.1063,0.5951,0.2665,8.0
0.004,0.0249,0.3754,0.5185,0.0772,7.0
0.0011,0.0025,0.0331,0.4665,0.4967,9.0
0.0067,0.0249,0.1372,0.5659,0.2654,10.0
0.0041,0.0072,0.0132,0.1493,0.8263,8.0
0.0586,0.089,0.1171,0.3043,0.4309,10.0
0.0052,0.0072,0.0208,0.1916,0.7751,10.0
0.0011,0.0019,0.0094,0.2378,0.7498,8.0
0.0042,0.0124,0.0889,0.4392,0.4554,10.0
0.4918,0.3085,0.1059,0.0476,0.0462,7.0
0.0013,0.0012,0.0065,0.0807,0.9103,9.0
0.0007,0.0007,0.0033,0.0997,0.8956,10.0
0.001,0.0016,0.0077,0.203,0.7866,9.0
0.0838,0.0893,0.0883,0.2828,0.4557,9.0
0.0136,0.0985,0.3722,0.4645,0.0512,8.0
0.0038,0.0089,0.0776,0.5146,0.3951,10.0
0.442,0.1974,0.0589,0.0984,0.2034,10.0
0.0008,0.0006,0.003,0.0539,0.9417,10.0
0.002,0.0055,0.0411,0.4907,0.4607,10.0
0.2083,0.2195,0.1007,0.1566,0.3149,10.0
0.0146,0.026,0.1877,0.5939,0.1777,7.0
0.0303,0.0293,0.0601,0.2337,0.6466,9.0
