0,1,2,3,4,5
0.0023,0.0032,0.0041,0.0769,0.9135,10.0
0.0071,0.04,0.1569,0.5828,0.2132,0.0
0.0018,0.0041,0.0132,0.2706,0.7103,10.0
0.0016,0.0021,0.0044,0.0715,0.9204,10.0
0.0019,0.0047,0.0205,0.332,0.641,10.0
0.0008,0.0099,0.3188,0.6296,0.0409,10.0
0.0221,0.1475,0.3858,0.3964,0.0483,5.0
0.0007,0.0011,0.005,0.1216,0.8716,10.0
0.0009,0.0034,0.0392,0.4027,0.5539,9.0
0.0148,0.0404,0.0542,0.3245,0.5661,8.0
0.007,0.0232,0.0546,0.4113,0.504,10.0
0.002,0.007,0.0395,0.7112,0.2402,9.0
0.0091,0.0189,0.0492,0.4008,0.5219,9.0
0.0016,0.006,0.0402,0.635,0.3172,10.0
0.0034,0.0021,0.0031,0.02,0.9715,10.0
0.0014,0.0037,0.0209,0.4014,0.5727,10.0
0.163,0.5628,0.2305,0.0383,0.0054,1.0
0.0025,0.0062,0.0282,0.448,0.5151,10.0
0.0154,0.1828,0.5038,0.2564,0.0416,10.0
0.1699,0.6725,0.1477,0.0083,0.0016,5.0
0.0107,0.0959,0.4503,0.4075,0.0356,6.0
0.0018,0.0089,0.0723,0.7216,0.1954,8.0
0.0023,0.0048,0.0151,0.2823,0.6956,9.0
0.0076,0.018,0.0474,0.3276,0.5993,10.0
0.0037,0.0061,0.0185,0.1761,0.7955,10.0
0.0211,0.1173,0.2435,0.4738,0.1444,10.0
0.003,0.0038,0.0041,0.056,0.933,9.0
0.0035,0.0161,0.0968,0.6921,0.1916,9.0
0.0025,0.0064,0.0262,0.3779,0.5871,10.0
0.0413,0.1082,0.0815,0.2782,0.4908,9.0
0.0022,0.0034,0.0065,0.0816,0.9063,10.0
0.0392,0.0727,0.084,0.2179,0.5862,10.0
0.1337,0.5846,0.261,0.0194,0.0012,1.0
0.0029,0.0068,0.0216,0.2409,0.7278,10.0
0.2242,0.275,0.2088,0.1607,0.1314,6.0
0.0025,0.0055,0.0214,0.2453,0.7253,10.0
0.0092,0.0345,0.0834,0.374,0.4989,9.0
0.1712,0.2458,0.2238,0.2113,0.148,10.0
0.0044,0.0106,0.0171,0.2006,0.7673,10.0
0.0542,0.1737,0.4697,0.271,0.0314,7.0
0.0014,0.0046,0.0255,0.4387,0.5298,9.0
0.0084,0.0089,0.0126,0.0504,0.9197,10.0
0.0039,0.0102,0.0579,0.4409,0.4872,10.0
0.0022,0.0028,0.0036,0.0408,0.9506,10.0
0.0031,0.0071,0.0228,0.235,0.7319,10.0
0.0761,0.1684,0.3413,0.3509,0.0633,2.0
0.0009,0.0024,0.01,0.1934,0.7934,10.0
0.0119,0.0158,0.0242,0.1089,0.8392,9.0
0.0071,0.0273,0.0699,0.3952,0.5005,8.0
