0,1,2,3,4,5
0.2799,0.5791,0.1125,0.0232,0.0054,6.0
0.0009,0.0012,0.0055,0.165,0.8275,10.0
0.048,0.091,0.1003,0.2904,0.4703,9.0
0.0009,0.0022,0.0123,0.256,0.7286,0.0
0.0096,0.0241,0.0489,0.3521,0.5653,10.0
0.0072,0.1459,0.6837,0.1581,0.005,8.0
0.1505,0.1766,0.1283,0.3764,0.1681,10.0
0.0034,0.0096,0.0253,0.9433,0.0185,9.0
0.0147,0.1108,0.3852,0.4335,0.0558,10.0
0.0028,0.0047,0.0116,0.1799,0.801,9.0
0.2467,0.4831,0.207,0.0509,0.0122,5.0
0.0086,0.0916,0.3651,0.4954,0.0392,8.0
0.0006,0.0011,0.0091,0.3039,0.6853,10.0
0.0012,0.0014,0.0029,0.0466,0.9479,10.0
0.0131,0.2477,0.4937,0.234,0.0116,8.0
0.0029,0.0056,0.0272,0.3824,0.5818,9.0
0.0383,0.0461,0.0497,0.1444,0.7214,10.0
0.1039,0.5784,0.2717,0.0425,0.0035,6.0
0.0025,0.0041,0.0123,0.1945,0.7866,10.0
0.3184,0.4139,0.1506,0.0872,0.03,10.0
0.0643,0.7471,0.1775,0.0102,0.0009,3.0
0.005,0.0204,0.0945,0.6154,0.2648,8.0
0.0089,0.0561,0.2668,0.5546,0.1136,9.0
0.0087,0.0108,0.0138,0.0984,0.8684,10.0
0.0433,0.1252,0.2345,0.4667,0.1303,10.0
0.0181,0.0691,0.1941,0.5152,0.2035,8.0
0.0025,0.0132,0.1068,0.6147,0.2629,10.0
0.0191,0.0559,0.1655,0.4693,0.2902,10.0
0.0015,0.005,0.0393,0.5262,0.428,9.0
0.7943,0.1866,0.0147,0.0025,0.0019,1.0
0.0027,0.0095,0.0555,0.4323,0.5001,8.0
0.2271,0.665,0.1027,0.0046,0.0007,3.0
0.219,0.4541,0.2541,0.0592,0.0137,6.0
0.0492,0.3151,0.3344,0.2662,0.0352,8.0
0.0088,0.0434,0.1715,0.5664,0.2099,8.0
0.0131,0.0274,0.0537,0.3515,0.5543,8.0
0.0676,0.4346,0.4041,0.0873,0.0064,3.0
0.1796,0.659,0.1514,0.0088,0.0012,3.0
0.0039,0.0103,0.1328,0.5371,0.316,10.0
0.0028,0.0149,0.0727,0.5368,0.3727,9.0
0.0179,0.0899,0.1959,0.5451,0.1513,9.0
0.0882,0.2927,0.3262,0.2248,0.0683,10.0
0.0211,0.2249,0.4299,0.282,0.0421,10.0
0.2557,0.5622,0.1456,0.033,0.0035,5.0
0.0154,0.1076,0.4435,0.3919,0.0416,10.0
0.0291,0.1633,0.2368,0.4149,0.1558,10.0
0.0008,0.0013,0.0069,0.1581,0.8328,10.0
0.0413,0.0694,0.094,0.2231,0.5721,10.0
0.0056,0.0105,0.082,0.7134,0.1885,7.0
0.0048,0.0198,0.1152,0.6166,0.2436,10.0
0.0563,0.255,0.3753,0.2383,0.075,1.0
0.0145,0.1103,0.492,0.3518,0.0314,8.0
0.0365,0.1141,0.622,0.2152,0.0121,8.0
0.04,0.1573,0.5186,0.2597,0.0244,9.0
0.0249,0.0617,0.1151,0.3766,0.4217,9.0
0.2782,0.602,0.1117,0.0072,0.0009,4.0
0.2846,0.4679,0.1375,0.0785,0.0315,4.0
0.0318,0.1362,0.2341,0.4642,0.1337,0.0
0.0071,0.032,0.084,0.3698,0.5072,10.0
0.1433,0.2479,0.2206,0.2389,0.1493,5.0
0.0097,0.1845,0.535,0.2606,0.0101,6.0
0.148,0.656,0.1838,0.0109,0.0012,5.0
0.0178,0.0329,0.0764,0.4064,0.4665,9.0
